year,make,model,trim,body,market,headlight_low,headlight_high,parking,turn_front,side_marker_front,drl,fog_front,cornering,turn_mirror,turn_fender,tail,brake,turn_rear,reverse,license_plate,high_mount_stop,rear_fog,side_marker_rear,turn_bumper,brake_trunk,reverse_trunk,dome,map,rear_map,cargo,trunk,glovebox,vanity,door_courtesy,footwell,step_courtesy,ignition_ring,center_console,shifter,ambient,cluster,hvac,radio,switch_bank,source_1,source_2,confidence
1978,Subaru,BRAT,Base (US),Pickup,USDM,H5006||2|sealed_beam|true,H5001||2|sealed_beam|true,unknown,1157|BAY15d|2|bulb|true,unknown,n/a,n/a,n/a,n/a,n/a,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|2|bulb|true,89|G-6|2|bulb|true,n/a,n/a,unknown,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,194|W2.1x9.5d|2|bulb|true,n/a,DE3175|31mm Festoon|1|bulb|true,n/a,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Owner's Manual,,high
1979,Subaru,BRAT,Base (US),Pickup,USDM,H5006||2|sealed_beam|true,H5001||2|sealed_beam|true,unknown,1157|BAY15d|2|bulb|true,unknown,n/a,n/a,n/a,n/a,n/a,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|2|bulb|true,89|G-6|2|bulb|true,n/a,n/a,unknown,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,194|W2.1x9.5d|2|bulb|true,n/a,DE3175|31mm Festoon|1|bulb|true,n/a,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Owner's Manual,,high
1980,Subaru,BRAT,Base (US),Pickup,USDM,H4656||2|sealed_beam|true,H4651||2|sealed_beam|true,unknown,1157|BAY15d|2|bulb|true,unknown,n/a,n/a,n/a,n/a,n/a,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|2|bulb|true,67|G-6|2|bulb|true,n/a,n/a,unknown,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,194|W2.1x9.5d|2|bulb|true,n/a,DE3175|31mm Festoon|1|bulb|true,n/a,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Owner's Manual,,high
1981,Subaru,BRAT,Base (US),Pickup,USDM,H4656||2|sealed_beam|true,H4651||2|sealed_beam|true,unknown,1157|BAY15d|2|bulb|true,unknown,n/a,n/a,n/a,n/a,n/a,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|2|bulb|true,67|G-6|2|bulb|true,n/a,n/a,unknown,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,194|W2.1x9.5d|2|bulb|true,n/a,DE3175|31mm Festoon|1|bulb|true,n/a,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Owner's Manual,,high
1981,Subaru,Rex,4WD (JDM),Hatchback,JDM,H4 (9003)|P43t|2|bulb|true,H4 (9003)|P43t|2|bulb|true,unknown,1156|BA15s|2|bulb|true,n/a,n/a,n/a,n/a,n/a,unknown,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|1|bulb|true,168|W2.1x9.5d|1|bulb|true,n/a,unknown,n/a,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,194|W2.1x9.5d|2|bulb|true,n/a,DE3175|31mm Festoon|1|bulb|true,n/a,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,JDM FSM,,medium
1981,Subaru,Rex,Standard (JDM),Hatchback,JDM,H4 (9003)|P43t|2|bulb|true,H4 (9003)|P43t|2|bulb|true,unknown,1156|BA15s|2|bulb|true,n/a,n/a,n/a,n/a,n/a,unknown,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|1|bulb|true,168|W2.1x9.5d|1|bulb|true,n/a,unknown,n/a,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,194|W2.1x9.5d|2|bulb|true,n/a,DE3175|31mm Festoon|1|bulb|true,n/a,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,JDM FSM,,medium
1982,Subaru,BRAT,Base (US),Pickup,USDM,H4656||2|sealed_beam|true,H4651||2|sealed_beam|true,unknown,1157|BAY15d|2|bulb|true,unknown,n/a,n/a,n/a,n/a,n/a,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|2|bulb|true,67|G-6|2|bulb|true,n/a,n/a,unknown,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,194|W2.1x9.5d|2|bulb|true,n/a,DE3175|31mm Festoon|1|bulb|true,n/a,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Owner's Manual,,high
1982,Subaru,Rex,4WD (JDM),Hatchback,JDM,H4 (9003)|P43t|2|bulb|true,H4 (9003)|P43t|2|bulb|true,unknown,1156|BA15s|2|bulb|true,n/a,n/a,n/a,n/a,n/a,unknown,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|1|bulb|true,168|W2.1x9.5d|1|bulb|true,n/a,unknown,n/a,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,194|W2.1x9.5d|2|bulb|true,n/a,DE3175|31mm Festoon|1|bulb|true,n/a,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,JDM FSM,,medium
1982,Subaru,Rex,Standard (JDM),Hatchback,JDM,H4 (9003)|P43t|2|bulb|true,H4 (9003)|P43t|2|bulb|true,unknown,1156|BA15s|2|bulb|true,n/a,n/a,n/a,n/a,n/a,unknown,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|1|bulb|true,168|W2.1x9.5d|1|bulb|true,n/a,unknown,n/a,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,194|W2.1x9.5d|2|bulb|true,n/a,DE3175|31mm Festoon|1|bulb|true,n/a,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,JDM FSM,,medium
1983,Subaru,BRAT,Base (US),Pickup,USDM,H4656||2|sealed_beam|true,H4651||2|sealed_beam|true,unknown,1157|BAY15d|2|bulb|true,unknown,n/a,n/a,n/a,n/a,n/a,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|2|bulb|true,67|G-6|2|bulb|true,n/a,n/a,unknown,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,194|W2.1x9.5d|2|bulb|true,n/a,DE3175|31mm Festoon|1|bulb|true,n/a,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Owner's Manual,,high
