year,make,model,trim,body,market,engine_oil_qty,engine_oil_unit,engine_coolant_qty,engine_coolant_unit,brake_fluid_qty,brake_fluid_unit,washer_fluid_qty,washer_fluid_unit,power_steering_fluid_qty,power_steering_fluid_unit,clutch_hydraulic_fluid_qty,clutch_hydraulic_fluid_unit,manual_trans_fluid_qty,manual_trans_fluid_unit,automatic_trans_fluid_qty,automatic_trans_fluid_unit,cvt_fluid_qty,cvt_fluid_unit,front_diff_fluid_qty,front_diff_fluid_unit,rear_diff_fluid_qty,rear_diff_fluid_unit,center_diff_or_transfer_fluid_qty,center_diff_or_transfer_fluid_unit,ac_refrigerant_qty,ac_refrigerant_unit,ac_compressor_oil_qty,ac_compressor_oil_unit,notes,source_1,source_2,confidence
1978,Subaru,BRAT,Base (US),,USDM,w/ filter: 3.8 qt / 3.6 L,10W-40 (API SF/SG),capacity: 5.6 qt / 5.3 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,,,,,capacity: 2.9 qt / 2.7 L,80W-90 GL-4,,,,,,,capacity: 0.8 qt / 0.76 L,80W-90 GL-5,,,,R-12,,,front diff shared with manual trans; washer: fill to max,AMSOIL Product Guide,ultimatesubaru.org,medium
1979,Subaru,BRAT,Base (US),,USDM,w/ filter: 3.8 qt / 3.6 L,10W-40 (API SF/SG),capacity: 5.6 qt / 5.3 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,,,,,capacity: 2.9 qt / 2.7 L,80W-90 GL-4,,,,,,,capacity: 0.8 qt / 0.76 L,80W-90 GL-5,,,,R-12,,,front diff shared with manual trans; washer: fill to max,AMSOIL Product Guide,ultimatesubaru.org,medium
1980,Subaru,BRAT,Base (US),,USDM,w/ filter: 4.2 qt / 4.0 L | w/o filter: 3.2 qt / 3.0 L,10W-40 (API SF/SG),capacity: 5.8 qt / 5.5 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,,,,,capacity: 2.9 qt / 2.7 L,80W-90 GL-4,drain & fill: 2.6 qt / 2.5 L | total (dry): 10.0 qt / 9.5 L,DEXRON II,,,,,capacity: 0.8 qt / 0.76 L,80W-90 GL-5,,,,R-12,,,front diff shared with manual trans; washer: fill to max,AMSOIL Product Guide,worldsbestoil.ca,medium
1981,Subaru,BRAT,Base (US),,USDM,w/ filter: 4.2 qt / 4.0 L | w/o filter: 3.2 qt / 3.0 L,10W-40 (API SF/SG),capacity: 5.8 qt / 5.5 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,,,,,capacity: 2.9 qt / 2.7 L,80W-90 GL-4,drain & fill: 2.6 qt / 2.5 L | total (dry): 10.0 qt / 9.5 L,DEXRON II,,,,,capacity: 0.8 qt / 0.76 L,80W-90 GL-5,,,,R-12,,,front diff shared with manual trans; washer: fill to max,AMSOIL Product Guide,worldsbestoil.ca,medium
1981,Subaru,Rex,4WD (JDM),,JDM,w/ filter: 2.5 qt / 2.4 L,10W-30 (API SF/SG),capacity: 3.8 qt / 3.6 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,,,,,capacity: 1.8 qt / 1.7 L,80W GL-4,,,,,,,capacity: 0.5 qt / 0.47 L,80W-90 GL-5,,,,R-12,,,front diff shared; rear diff: 4WD only; washer: fill to max,Subaru Rex FSM,JDM specs,low
1981,Subaru,Rex,Standard (JDM),,JDM,w/ filter: 2.5 qt / 2.4 L,10W-30 (API SF/SG),capacity: 3.8 qt / 3.6 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,,,,,capacity: 1.8 qt / 1.7 L,80W GL-4,,,,,,,capacity: 0.5 qt / 0.47 L,80W-90 GL-5,,,,R-12,,,front diff shared; rear diff: 4WD only; washer: fill to max,Subaru Rex FSM,JDM specs,low
1982,Subaru,BRAT,Base (US),,USDM,w/ filter: 4.2 qt / 4.0 L | w/o filter: 3.2 qt / 3.0 L,10W-40 (API SF/SG),capacity: 5.8 qt / 5.5 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,,,,,capacity: 2.9 qt / 2.7 L,80W-90 GL-4,drain & fill: 2.6 qt / 2.5 L | total (dry): 10.0 qt / 9.5 L,DEXRON II,,,,,capacity: 0.8 qt / 0.76 L,80W-90 GL-5,,,,R-12,,,front diff shared with manual trans; washer: fill to max,AMSOIL Product Guide,worldsbestoil.ca,medium
1982,Subaru,Rex,4WD (JDM),,JDM,w/ filter: 2.5 qt / 2.4 L,10W-30 (API SF/SG),capacity: 3.8 qt / 3.6 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,,,,,capacity: 1.8 qt / 1.7 L,80W GL-4,,,,,,,capacity: 0.5 qt / 0.47 L,80W-90 GL-5,,,,R-12,,,front diff shared; rear diff: 4WD only; washer: fill to max,Subaru Rex FSM,JDM specs,low
1982,Subaru,Rex,Standard (JDM),,JDM,w/ filter: 2.5 qt / 2.4 L,10W-30 (API SF/SG),capacity: 3.8 qt / 3.6 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,,,,,capacity: 1.8 qt / 1.7 L,80W GL-4,,,,,,,capacity: 0.5 qt / 0.47 L,80W-90 GL-5,,,,R-12,,,front diff shared; rear diff: 4WD only; washer: fill to max,Subaru Rex FSM,JDM specs,low
1983,Subaru,BRAT,Base (US),,USDM,w/ filter: 4.2 qt / 4.0 L | w/o filter: 3.2 qt / 3.0 L,10W-40 (API SF/SG),capacity: 5.8 qt / 5.5 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,,,,,capacity: 2.9 qt / 2.7 L,80W-90 GL-4,drain & fill: 2.6 qt / 2.5 L | total (dry): 10.0 qt / 9.5 L,DEXRON II,,,,,capacity: 0.8 qt / 0.76 L,80W-90 GL-5,,,,R-12,,,front diff shared with manual trans; washer: fill to max,AMSOIL Product Guide,worldsbestoil.ca,medium
