year,make,model,trim,body,market,engine_oil_drain_plug,engine_oil_filter,manual_trans_drain_plug,manual_trans_fill_plug,automatic_trans_drain_plug,automatic_trans_pan_bolts,cvt_drain_plug,cvt_pan_bolts,front_diff_drain_plug,front_diff_fill_plug,rear_diff_drain_plug,rear_diff_fill_plug,transfer_case_or_center_diff_drain_plug,transfer_case_or_center_diff_fill_plug,spark_plugs,wheel_lug_nuts,brake_caliper_bracket_bolts,brake_caliper_slide_pins,brake_bleeder_screws,battery_terminal_clamp,notes,source_1,source_2,confidence
1978,Subaru,BRAT,Base (US),,USDM,with crush washer: 44 N·m / 32 ft-lb,capacity: 14 N·m / 10 ft-lb,with crush washer: 44 N·m / 32 ft-lb,with crush washer: 44 N·m / 32 ft-lb,,,,,,,with crush washer: 50 N·m / 37 ft-lb,with crush washer: 50 N·m / 37 ft-lb,,,capacity: 21 N·m / 15 ft-lb,capacity: 100 N·m / 74 ft-lb,,,capacity: 8.0 N·m / 5.9 ft-lb,capacity: 6.0 N·m / 4.4 ft-lb,; Front diff shared sump (MT),Subaru Service Manual,,medium
1979,Subaru,BRAT,Base (US),,USDM,with crush washer: 44 N·m / 32 ft-lb,capacity: 14 N·m / 10 ft-lb,with crush washer: 44 N·m / 32 ft-lb,with crush washer: 44 N·m / 32 ft-lb,,,,,,,with crush washer: 50 N·m / 37 ft-lb,with crush washer: 50 N·m / 37 ft-lb,,,capacity: 21 N·m / 15 ft-lb,capacity: 100 N·m / 74 ft-lb,,,capacity: 8.0 N·m / 5.9 ft-lb,capacity: 6.0 N·m / 4.4 ft-lb,; Front diff shared sump (MT),Subaru Service Manual,,medium
1980,Subaru,BRAT,Base (US),,USDM,with crush washer: 44 N·m / 32 ft-lb,capacity: 14 N·m / 10 ft-lb,with crush washer: 44 N·m / 32 ft-lb,with crush washer: 44 N·m / 32 ft-lb,,,,,,,with crush washer: 50 N·m / 37 ft-lb,with crush washer: 50 N·m / 37 ft-lb,,,capacity: 21 N·m / 15 ft-lb,capacity: 100 N·m / 74 ft-lb,,,capacity: 8.0 N·m / 5.9 ft-lb,capacity: 6.0 N·m / 4.4 ft-lb,; Front diff shared sump (MT),Subaru Service Manual,,medium
1981,Subaru,BRAT,Base (US),,USDM,with crush washer: 44 N·m / 32 ft-lb,capacity: 14 N·m / 10 ft-lb,with crush washer: 44 N·m / 32 ft-lb,with crush washer: 44 N·m / 32 ft-lb,,,,,,,with crush washer: 50 N·m / 37 ft-lb,with crush washer: 50 N·m / 37 ft-lb,,,capacity: 21 N·m / 15 ft-lb,capacity: 100 N·m / 74 ft-lb,,,capacity: 8.0 N·m / 5.9 ft-lb,capacity: 6.0 N·m / 4.4 ft-lb,; Front diff shared sump (MT),Subaru Service Manual,,medium
1981,Subaru,Rex,4WD (JDM),Hatchback,JDM,with crush washer: 44 N·m / 32 ft-lb,capacity: 14 N·m / 10 ft-lb,with crush washer: 44 N·m / 32 ft-lb,with crush washer: 44 N·m / 32 ft-lb,,,,,,,with crush washer: 50 N·m / 37 ft-lb,with crush washer: 50 N·m / 37 ft-lb,,,capacity: 21 N·m / 15 ft-lb,capacity: 100 N·m / 74 ft-lb,,,capacity: 8.0 N·m / 5.9 ft-lb,capacity: 6.0 N·m / 4.4 ft-lb,; Front diff shared sump (MT),Subaru Service Manual,,medium
1981,Subaru,Rex,Standard (JDM),Hatchback,JDM,with crush washer: 44 N·m / 32 ft-lb,capacity: 14 N·m / 10 ft-lb,with crush washer: 44 N·m / 32 ft-lb,with crush washer: 44 N·m / 32 ft-lb,,,,,,,with crush washer: 50 N·m / 37 ft-lb,with crush washer: 50 N·m / 37 ft-lb,,,capacity: 21 N·m / 15 ft-lb,capacity: 100 N·m / 74 ft-lb,,,capacity: 8.0 N·m / 5.9 ft-lb,capacity: 6.0 N·m / 4.4 ft-lb,; Front diff shared sump (MT),Subaru Service Manual,,medium
1982,Subaru,BRAT,Base (US),,USDM,with crush washer: 44 N·m / 32 ft-lb,capacity: 14 N·m / 10 ft-lb,with crush washer: 44 N·m / 32 ft-lb,with crush washer: 44 N·m / 32 ft-lb,,,,,,,with crush washer: 50 N·m / 37 ft-lb,with crush washer: 50 N·m / 37 ft-lb,,,capacity: 21 N·m / 15 ft-lb,capacity: 100 N·m / 74 ft-lb,,,capacity: 8.0 N·m / 5.9 ft-lb,capacity: 6.0 N·m / 4.4 ft-lb,; Front diff shared sump (MT),Subaru Service Manual,,medium
1982,Subaru,Rex,4WD (JDM),Hatchback,JDM,with crush washer: 44 N·m / 32 ft-lb,capacity: 14 N·m / 10 ft-lb,with crush washer: 44 N·m / 32 ft-lb,with crush washer: 44 N·m / 32 ft-lb,,,,,,,with crush washer: 50 N·m / 37 ft-lb,with crush washer: 50 N·m / 37 ft-lb,,,capacity: 21 N·m / 15 ft-lb,capacity: 100 N·m / 74 ft-lb,,,capacity: 8.0 N·m / 5.9 ft-lb,capacity: 6.0 N·m / 4.4 ft-lb,; Front diff shared sump (MT),Subaru Service Manual,,medium
1982,Subaru,Rex,Standard (JDM),Hatchback,JDM,with crush washer: 44 N·m / 32 ft-lb,capacity: 14 N·m / 10 ft-lb,with crush washer: 44 N·m / 32 ft-lb,with crush washer: 44 N·m / 32 ft-lb,,,,,,,with crush washer: 50 N·m / 37 ft-lb,with crush washer: 50 N·m / 37 ft-lb,,,capacity: 21 N·m / 15 ft-lb,capacity: 100 N·m / 74 ft-lb,,,capacity: 8.0 N·m / 5.9 ft-lb,capacity: 6.0 N·m / 4.4 ft-lb,; Front diff shared sump (MT),Subaru Service Manual,,medium
1983,Subaru,BRAT,Base (US),,USDM,with crush washer: 44 N·m / 32 ft-lb,capacity: 14 N·m / 10 ft-lb,with crush washer: 44 N·m / 32 ft-lb,with crush washer: 44 N·m / 32 ft-lb,,,,,,,with crush washer: 50 N·m / 37 ft-lb,with crush washer: 50 N·m / 37 ft-lb,,,capacity: 21 N·m / 15 ft-lb,capacity: 100 N·m / 74 ft-lb,,,capacity: 8.0 N·m / 5.9 ft-lb,capacity: 6.0 N·m / 4.4 ft-lb,; Front diff shared sump (MT),Subaru Service Manual,,medium
1983,Subaru,Rex,4WD (JDM),Hatchback,JDM,with crush washer: 44 N·m / 32 ft-lb,capacity: 14 N·m / 10 ft-lb,with crush washer: 44 N·m / 32 ft-lb,with crush washer: 44 N·m / 32 ft-lb,,,,,,,with crush washer: 50 N·m / 37 ft-lb,with crush washer: 50 N·m / 37 ft-lb,,,capacity: 21 N·m / 15 ft-lb,capacity: 100 N·m / 74 ft-lb,,,capacity: 8.0 N·m / 5.9 ft-lb,capacity: 6.0 N·m / 4.4 ft-lb,; Front diff shared sump (MT),Subaru Service Manual,,medium
1983,Subaru,Rex,Standard (JDM),Hatchback,JDM,with crush washer: 44 N·m / 32 ft-lb,capacity: 14 N·m / 10 ft-lb,with crush washer: 44 N·m / 32 ft-lb,with crush washer: 44 N·m / 32 ft-lb,,,,,,,with crush washer: 50 N·m / 37 ft-lb,with crush washer: 50 N·m / 37 ft-lb,,,capacity: 21 N·m / 15 ft-lb,capacity: 100 N·m / 74 ft-lb,,,capacity: 8.0 N·m / 5.9 ft-lb,capacity: 6.0 N·m / 4.4 ft-lb,; Front diff shared sump (MT),Subaru Service Manual,,medium
1984,Subaru,BRAT,Base (US),,USDM,with crush washer: 44 N·m / 32 ft-lb,capacity: 14 N·m / 10 ft-lb,with crush washer: 44 N·m / 32 ft-lb,with crush washer: 44 N·m / 32 ft-lb,,,,,,,with crush washer: 50 N·m / 37 ft-lb,with crush washer: 50 N·m / 37 ft-lb,,,capacity: 21 N·m / 15 ft-lb,capacity: 100 N·m / 74 ft-lb,,,capacity: 8.0 N·m / 5.9 ft-lb,capacity: 6.0 N·m / 4.4 ft-lb,; Front diff shared sump (MT),Subaru Service Manual,,medium
1984,Subaru,Justy,4WD (JDM),Hatchback,JDM,with crush washer: 44 N·m / 32 ft-lb,capacity: 14 N·m / 10 ft-lb,with crush washer: 44 N·m / 32 ft-lb,with crush washer: 44 N·m / 32 ft-lb,,,,,,,,,,,capacity: 21 N·m / 15 ft-lb,capacity: 100 N·m / 74 ft-lb,,,capacity: 8.0 N·m / 5.9 ft-lb,capacity: 6.0 N·m / 4.4 ft-lb,; Front diff shared sump (MT),Subaru Service Manual,,medium
1984,Subaru,Justy,J (JDM),Hatchback,JDM,with crush washer: 44 N·m / 32 ft-lb,capacity: 14 N·m / 10 ft-lb,with crush washer: 44 N·m / 32 ft-lb,with crush washer: 44 N·m / 32 ft-lb,,,,,,,,,,,capacity: 21 N·m / 15 ft-lb,capacity: 100 N·m / 74 ft-lb,,,capacity: 8.0 N·m / 5.9 ft-lb,capacity: 6.0 N·m / 4.4 ft-lb,; Front diff shared sump (MT),Subaru Service Manual,,medium
