path,status,kind,type,role,purpose,confidence,notes
.agent,untracked,dir,unknown,config,Unknown; needs review,5,
.agent/rules,untracked,dir,unknown,config,Unknown; needs review,5,
.agent/rules/bolt.md,tracked,file,docs,docs,Unknown; needs review,5,
.agent/rules/bug-eater.md,tracked,file,docs,docs,Unknown; needs review,5,
.agent/rules/lumen.md,tracked,file,docs,docs,Unknown; needs review,5,
.agent/rules/model-warden.md,tracked,file,docs,docs,Unknown; needs review,5,
.agent/rules/previewsentry.md,tracked,file,docs,docs,Unknown; needs review,5,
.agent/rules/repojanitor.md,tracked,file,docs,docs,Unknown; needs review,5,
.agent/rules/spec-havester.md,tracked,file,docs,docs,Unknown; needs review,5,
.agent/rules/test-forge.md,tracked,file,docs,docs,Unknown; needs review,5,
.github,untracked,dir,unknown,config,Unknown; needs review,5,
.github/workflows,untracked,dir,unknown,CI,Unknown; needs review,5,
.github/workflows/flutter-android.yml,tracked,file,unknown,CI,Unknown; needs review,5,
.gitignore,tracked,file,unknown,config,Unknown; needs review,5,
.jules,untracked,dir,unknown,config,Unknown; needs review,5,
.jules/bolt.md,tracked,file,docs,docs,Unknown; needs review,5,
.jules/bug-eater.md,tracked,file,docs,docs,Unknown; needs review,5,
.jules/idea-smith.md,tracked,file,docs,docs,Unknown; needs review,5,
.jules/model-warden.md,tracked,file,docs,docs,Unknown; needs review,5,
.jules/palette.md,tracked,file,docs,docs,Unknown; needs review,5,
.jules/sentinel.md,tracked,file,docs,docs,Unknown; needs review,5,
.jules/spec-keeper.md,tracked,file,docs,docs,Unknown; needs review,5,
.jules/specauditor.md,tracked,file,docs,docs,Unknown; needs review,5,
.jules/specharvester.md,tracked,file,docs,docs,Unknown; needs review,5,
.jules/test-forge.md,tracked,file,docs,docs,Unknown; needs review,5,
.jules/workflowwrench.md,tracked,file,docs,docs,Unknown; needs review,5,
.metadata,tracked,file,unknown,config,Unknown; needs review,5,
.vscode,untracked,dir,unknown,config,Unknown; needs review,5,
.vscode/launch.json,tracked,file,config,config,Unknown; needs review,5,
AGENTS.md,tracked,file,docs,docs,Unknown; needs review,5,
Agents - Jules,untracked,dir,unknown,config,Unknown; needs review,5,
Agents - Jules/AGENTS.md,tracked,file,docs,docs,Unknown; needs review,5,
Agents - Jules/Bolt⚡️.md,untracked,file,docs,docs,Unknown; needs review,5,
Agents - Jules/Bug Eater🐛.md,untracked,file,docs,docs,Unknown; needs review,5,
Agents - Jules/CompileMedic.md,tracked,file,docs,docs,Unknown; needs review,5,
Agents - Jules/Data Smith.md,tracked,file,docs,docs,Unknown; needs review,5,
Agents - Jules/DocScribe.md,tracked,file,docs,docs,Unknown; needs review,5,
Agents - Jules/FluidsYMMTFitmentWriter 🧪.md,untracked,file,docs,docs,Unknown; needs review,5,
Agents - Jules/Idea Smith 💡🛠️ .md,untracked,file,docs,docs,Unknown; needs review,5,
Agents - Jules/Lumen.md,tracked,file,docs,docs,Unknown; needs review,5,
Agents - Jules/MODEL WARDEN 🗂️🚗.md,untracked,file,docs,docs,Unknown; needs review,5,
Agents - Jules/OEM xref.md,tracked,file,docs,docs,Unknown; needs review,5,
Agents - Jules/PreviewSentry.md,tracked,file,docs,docs,Unknown; needs review,5,
Agents - Jules/RepoJanitor.md,tracked,file,docs,docs,Unknown; needs review,5,
Agents - Jules/Schema Mechanic.md,tracked,file,docs,docs,Unknown; needs review,5,
Agents - Jules/ScopeScribe🧭📝.md,untracked,file,docs,docs,Unknown; needs review,5,
Agents - Jules/Search Tuner.md,tracked,file,docs,docs,Unknown; needs review,5,
